,,,,,,
,Mes,Junio,,,,
,,,,,,
,Check,  -   ,  -   ,  -   ,  -   ,  -   
,,,,,,
,COSTOS FIJOS / OTROS GASTOS, MORENO, VIA VIEJA, COLEGIO, GG2, GG4
,Alquiler Locales,"  1.400.000,00 ","  602.107,00 ",  -   ,"  1.600.000,00 ","  2.140.000,00 "
,Alquiler Oficina Adm.,"  156.000,00 ","  117.000,00 ","  78.000,00 ","  19.500,00 ","  19.500,00 "
,Expensas Locales,  -   ,  -   ,  -   ,  -   ,  -   
,Expensas Oficina Adm.,  -   ,  -   ,  -   ,  -   ,  -   
,Agua Locales,"  337.484,00 ",  -   ,  -   ,  -   ,"  61.431,50 "
,Luz Locales,"  3.168.767,00 ","  1.355.312,00 ","  661.223,00 ","  626.217,00 ","  1.173.108,00 "
,Luz (convenio de pago),  -   ,  -   ,  -   ,  -   ,"  437.000,00 "
,Luz Oficina Adm. ,  -   ,  -   ,  -   ,  -   ,  -   
,Gas Locales,"  72.500,00 ","  140.000,00 ",  -   ,  -   ,  -   
,Internet Locales,  -   ,  -   ,  -   ,  -   ,"  32.000,00 "
,Internet Oficina Adm.,  -   ,  -   ,  -   ,  -   ,  -   
,Maxirest,  -   ,  -   ,  -   ,  -   ,  -   
,Emergencias,  -   ,  -   ,  -   ,  -   ,"  42.336,00 "
,Alarma,  -   ,  -   ,  -   ,  -   ,  -   
,Seguros,  -   ,"  135.289,00 ",  -   ,  -   ,  -   
,Cadeteria entre Locales,  -   ,  -   ,"  48.000,00 ",  -   ,  -   
,Servicios de Limpieza,  -   ,  -   ,  -   ,"  234.000,00 ",  -   
,Servicios Jardinería,  -   ,  -   ,  -   ,  -   ,  -   
,Ropa de trabajo (remeras y delantales),"  171.750,00 ","  171.750,00 ","  37.725,00 ",  -   ,"  103.050,00 "
,Impresiones graficas ,  -   ,"  521.202,00 ",  -   ,  -   ,  -   
,Gastos Mantenimiento Locales ,  -   ,"  600.000,00 ",  -   ,"  514.400,00 ",  -   
,Gastos en Activos ,  -   ,  -   ,  -   ,"  871.508,00 ","  294.500,00 "
,Islas callejeras,  -   ,  -   ,  -   ,  -   ,  -   
,Eventos,"  1.000.000,00 ","  2.724.700,00 ",  -   ,  -   ,"  500.205,00 "
,Diseñadora Grafica,  -   ,  -   ,  -   ,  -   ,  -   
,Community Manager,"  249.470,00 ","  53.470,00 ","  53.470,00 ","  53.470,00 ",  -   
,Mantenimiento de cuenta,  -   ,  -   ,  -   ,  -   ,  -   
,Sueldos Administracion: Juani,  -   ,  -   ,  -   ,  -   ,  -   
,Sueldos Administracion: Nacho,  -   ,  -   ,  -   ,  -   ,  -   
,Sueldos Administracion: Flor,  -   ,  -   ,  -   ,  -   ,  -   
,Sueldos Administracion: Lila,  -   ,  -   ,  -   ,  -   ,  -   
,AFIP 931,"  211.050,00 ","  46.900,00 ","  43.550,00 ","  33.500,00 ","  98.000,00 "
,AFIP 931 Administración,  -   ,  -   ,  -   ,  -   ,  -   
,AFIP IVA,  -   ,  -   ,  -   ,  -   ,"  674.000,00 "
,DreI - Habilitaciones - Multas,  -   ,  -   ,  -   ,  -   ,"  396.367,42 "
,UTGHRA (sindicato gastronomicos),  -   ,  -   ,  -   ,  -   ,  -   
,Liquidaciones finales,  -   ,"  532.000,00 ",  -   ,  -   ,  -   
,Honorarios Contrato Alquiler,  -   ,  -   ,  -   ,"  960.000,00 ",  -   
,Convenio Canon,  -   ,  -   ,  -   ,  -   ,  -   
,Reconexion EPE,  -   ,  -   ,  -   ,  -   ,  -   
,Pistoni Flete,  -   ,  -   ,  -   ,  -   ,  -   
,Servicios Club,  -   ,  -   ,  -   ,"  158.000,00 ",  -   
,Plan de Pago Canon,  -   ,  -   ,  -   ,  -   ,  -   
,Planes de Pago ARCA,  -   ,  -   ,  -   ,  -   ,"  474.000,00 "
,Plan de Pago DREI,  -   ,  -   ,  -   ,  -   ,  -   
,TGI,"  253.661,00 ",  -   ,  -   ,  -   ,  -   
,Sueldos,  -   ,  -   ,  -   ,  -   ,  -   
,Gastos con tarjeta ,  -   ,  -   ,  -   ,  -   ,  -   
,Honorarios Contador,"  108.000,00 ","  81.000,00 ","  54.000,00 ","  13.500,00 ","  13.500,00 "
,Honorarios Profesionales,  -   ,  -   ,  -   ,  -   ,  -   
,IVA B,  -   ,  -   ,  -   ,  -   ,  -   
,IIBB,  -   ,  -   ,  -   ,  -   ,  -   
,Aguinaldos,  -   ,  -   ,  -   ,  -   ,  -   
,Honorarios consultores,  -   ,  -   ,  -   ,  ,  -   
,Rosario Gas,  -   ,  -   ,  -   ,  -   ,  -   
,Pintas Tato Growler,  -   ,  -   ,  -   ,  -   ,  -   
,Vasos plasticos,  -   ,  -   ,  -   ,  -   ,  -   
,Otros,  -   ,  -   ,  -   ,"  786.400,00 ",  -   
,Aguinaldos ADM,  -   ,  -   ,  -   ,  -   ,  -   
,Aguinaldos FIJOS MENSUALIZADOS,  -   ,  -   ,  -   ,  -   ,  -   
,CleanCity,  -   ,  -   ,  -   ,  -   ,"  317.774,00 "
,Seguridad,  -   ,  -   ,  -   ,  -   ,  -   
,Autónomos,  -   ,  -   ,  -   ,  -   ,  -   
,API,"  615.829,00 ",  -   ,  -   ,  -   ,  -   