,,,,,,,,,,
,,,COSTOS FIJOS / OTROS GASTOS,Linea P&L,,,Mes,,,Locales
,,,Alquiler Locales,Alquileres & Expensas,,,Enero,,, MORENO
,,,Alquiler Oficina Adm.,Gastos Centrales,,,Febrero,,, VIA VIEJA
,FORMA PAGO,,Expensas Locales,Alquileres & Expensas,,,Marzo,,, COLEGIO
,EF ADM,,Expensas Oficina Adm.,Gastos Centrales,,,Abril,,, GG2
,EF Local,,Agua Locales,"Servicios, Seguros & Tasas",,,Mayo,,, ADM Central
,Transferencia,,Luz Locales,"Servicios, Seguros & Tasas",,,Junio,,, GG4
,DB.Aut.Local,,Luz (convenio de pago),"Servicios, Seguros & Tasas",,,Julio,,,
,Otro Local,,Luz Oficina Adm. ,Gastos Centrales,,,Agosto,,,
,Cheque,,Gas Locales,"Servicios, Seguros & Tasas",,,Septiembre,,,
,EF/TR Local,,Internet Locales,"Servicios, Seguros & Tasas",,,Octubre,,,
,EF/TR ADM,,Internet Oficina Adm.,Gastos Centrales,,,Noviembre,,,
,MP,,Maxirest,"Servicios, Seguros & Tasas",,,Diciembre,,,
,,,Emergencias,"Servicios, Seguros & Tasas",,,,,,
,,,Alarma,"Servicios, Seguros & Tasas",,,,,,
,,,Seguros,"Servicios, Seguros & Tasas",,,,,,
,,,Cadeteria entre Locales,Logistica,,,,,,
,,,Servicios de Limpieza,"Limpieza, Descartables y Bazar",,,,,,
,,,Servicios Jardinería,Mantenimiento,,,,,,
,,,Ropa de trabajo (remeras y delantales),Gastos personal,,,,,,
,,,Impresiones graficas ,Artículos de librería / Impresiones,,,,,,
,,,Gastos Mantenimiento Locales ,Mantenimiento,,,,,,
,,,Gastos en Activos ,Gastos Varios,,,,,,
,,,Islas callejeras,Gastos Varios,,,,,,
,,,Eventos,Eventos,,,,,,
,,,Diseñadora Grafica,Costos Centrales Pool,,,,,,
,,,Community Manager,Costos Centrales Pool,,,,,,
,,,Mantenimiento de cuenta,"Servicios, Seguros & Tasas",,,,,,
,,,Sueldos Administracion: Juani,Sueldos Centrales Pool,,,,,,
,,,Sueldos Administracion: Nacho,Sueldos Centrales Pool,,,,,,
,,,Sueldos Administracion: Flor,Sueldos Centrales Pool,,,,,,
,,,Sueldos Administracion: Lila,Sueldos Centrales Pool,,,,,,
,,,AFIP 931,Cargas Sociales,,,,,,
,,,AFIP 931 Administración,Cargas Sociales,,,,,,
,,,AFIP IVA,IVA,*,No va al EERR,,,,
,,,DreI - Habilitaciones - Multas,"Servicios, Seguros & Tasas",,,,,,
,,,UTGHRA (sindicato gastronomicos),Cargas Sociales,,,,,,
,,,Liquidaciones finales,Liquidaciones Finales Locales,,,,,,
,,,Honorarios Contrato Alquiler,Alquileres & Expensas,,,,,,
,,,Convenio Canon,Convenios Pago,,,,,,
,,,Reconexion EPE,"Servicios, Seguros & Tasas",,,,,,
,,,Pistoni Flete,Logistica,,,,,,
,,,Servicios Club,Gastos Varios,,,,,,
,,,Plan de Pago Canon,Convenios Pago,*,,,,,
,,,Planes de Pago ARCA,Convenios Pago,*,,,,,
,,,Plan de Pago DREI,Convenios Pago,*,,,,,
,,,TGI,"Servicios, Seguros & Tasas",,,,,,
,,,Sueldos,"Jornales, Semanales y Mensualizados por HORA",,,,,,
,,,Gastos con tarjeta ,Gastos Varios,,,,,,
,,,Honorarios Contador,Costos Centrales Pool,,,,,,
,,,Honorarios Profesionales,Costos Centrales Pool,,,,,,
,,,IVA B,IVA,,,,,,
,,,IIBB,IIBB,,,,,,
,,,Aguinaldos,"Jornales, Semanales y Mensualizados por HORA",,,,,,
,,,Honorarios consultores,Costos Centrales Pool,,,,,,
,,,Rosario Gas,"Servicios, Seguros & Tasas",,,,,,
,,,Pintas Tato Growler,"Limpieza, Descartables y Bazar",,,,,,
,,,Vasos plasticos,"Limpieza, Descartables y Bazar",,,,,,
,,,Otros,Gastos Varios,,,,,,
,,,Aguinaldos ADM,Sueldos Centrales Pool,,,,,,
,,,Aguinaldos FIJOS MENSUALIZADOS,Mensualizado FIJO,,,,,,
,,,CleanCity,"Servicios, Seguros & Tasas",,,,,,
,,,Seguridad,"Servicios, Seguros & Tasas",,,,,,
,,,Autónomos,"Servicios, Seguros & Tasas",,,,,,
,,,API,"Servicios, Seguros & Tasas",,,,,,